Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,AMD,74.02,75.0274,72.72,74.59,38347537.0
2021-05-17 04:00:00,AMD,74.215,75.52,73.41,74.65,40779244.0
2021-05-18 04:00:00,AMD,74.74,75.7699,74.24,74.44,31914482.0
2021-05-19 04:00:00,AMD,73.16,76.97,72.76,76.23,72366162.0
2021-05-20 04:00:00,AMD,76.81,78.27,76.25,78.06,49135012.0
2021-05-21 04:00:00,AMD,78.55,78.81,77.04,77.17,40201088.0
2021-05-24 04:00:00,AMD,77.26,78.01,76.8,77.44,33194287.0
2021-05-25 04:00:00,AMD,77.33,78.77,76.8365,77.86,47293101.0
2021-05-26 04:00:00,AMD,77.83,78.59,77.59,78.34,30353997.0
2021-05-27 04:00:00,AMD,78.11,78.43,77.47,78.42,35864319.0
2021-05-28 04:00:00,AMD,78.66,81.09,78.66,80.08,40952663.0
2021-06-01 04:00:00,AMD,81.01,82.91,80.66,80.81,43433042.0
2021-06-02 04:00:00,AMD,81.0,82.6,80.66,81.97,35186724.0
2021-06-03 04:00:00,AMD,81.13,81.89,80.26,80.28,29800869.0
2021-06-04 04:00:00,AMD,80.92,82.19,80.81,81.58,26387799.0
2021-06-07 04:00:00,AMD,81.4,81.68,80.38,81.35,28993282.0
2021-06-08 04:00:00,AMD,81.87,82.645,80.45,80.89,26956625.0
2021-06-09 04:00:00,AMD,81.09,81.677,79.8,79.96,28454646.0
2021-06-10 04:00:00,AMD,80.02,81.71,79.7,81.56,28606356.0
2021-06-11 04:00:00,AMD,81.61,82.33,80.7,81.31,24310894.0
2021-06-14 04:00:00,AMD,81.51,81.55,80.2,81.55,27830243.0
2021-06-15 04:00:00,AMD,81.59,81.68,80.225,80.47,26194342.0
2021-06-16 04:00:00,AMD,80.75,81.45,78.96,80.11,29598309.0
2021-06-17 04:00:00,AMD,80.77,85.37,80.57,84.56,77791323.0
2021-06-18 04:00:00,AMD,84.28,85.77,83.48,84.65,58536805.0
2021-06-21 04:00:00,AMD,83.49,84.19,82.21,82.59,44417112.0
2021-06-22 04:00:00,AMD,82.9,84.04,82.48,83.58,32107700.0
2021-06-23 04:00:00,AMD,83.83,84.485,83.1603,83.82,24484435.0
2021-06-24 04:00:00,AMD,84.39,87.1399,84.365,86.1,42217665.0
2021-06-25 04:00:00,AMD,86.34,86.36,85.1,85.62,27804535.0
2021-06-28 04:00:00,AMD,86.38,88.0,86.15,87.08,30262042.0
2021-06-29 04:00:00,AMD,87.41,90.3,86.66,89.52,45811930.0
2021-06-30 04:00:00,AMD,90.82,94.335,90.6,93.93,70697525.0
2021-07-01 04:00:00,AMD,94.04,94.175,91.7,93.31,58059019.0
2021-07-02 04:00:00,AMD,93.28,95.27,92.205,94.7,51342975.0
2021-07-06 04:00:00,AMD,94.875,95.41,93.32,94.47,44930119.0
2021-07-07 04:00:00,AMD,95.02,95.44,90.31,90.54,51498481.0
2021-07-08 04:00:00,AMD,87.86,90.3399,87.45,89.74,45660654.0
2021-07-09 04:00:00,AMD,90.04,91.26,88.53,90.9,35246321.0
2021-07-12 04:00:00,AMD,91.22,91.9,89.65,90.81,28526559.0
2021-07-13 04:00:00,AMD,90.48,91.41,89.8299,90.26,30367595.0
2021-07-14 04:00:00,AMD,90.76,91.395,88.94,89.05,28108505.0
2021-07-15 04:00:00,AMD,89.78,89.78,86.1801,86.93,38944741.0
2021-07-16 04:00:00,AMD,87.32,88.03,85.68,85.89,35851920.0
2021-07-19 04:00:00,AMD,84.99,87.2294,84.24,86.58,39244796.0
2021-07-20 04:00:00,AMD,87.09,87.77,85.165,87.11,27900956.0
2021-07-21 04:00:00,AMD,87.25,89.49,86.9,89.41,29468164.0
2021-07-22 04:00:00,AMD,89.4,91.36,89.08,91.21,32730078.0
2021-07-23 04:00:00,AMD,91.3484,92.37,90.19,92.15,31695777.0
2021-07-26 04:00:00,AMD,92.01,92.75,91.12,91.82,27668459.0
2021-07-27 04:00:00,AMD,92.94,94.1,89.1,91.03,68893021.0
2021-07-28 04:00:00,AMD,93.44,98.71,89.65,97.93,140498268.0
2021-07-29 04:00:00,AMD,96.58,105.74,96.58,102.95,163939113.0
2021-07-30 04:00:00,AMD,101.6,106.97,101.38,106.19,125632018.0
2021-08-02 04:00:00,AMD,105.93,110.33,103.83,108.63,115581854.0
2021-08-03 04:00:00,AMD,108.15,114.85,107.66,112.56,157723142.0
2021-08-04 04:00:00,AMD,114.36,122.49,114.16,118.77,225368699.0
2021-08-05 04:00:00,AMD,116.63,117.68,111.59,112.35,137860865.0
2021-08-06 04:00:00,AMD,110.55,116.2599,109.7,110.11,143899026.0
2021-08-09 04:00:00,AMD,111.31,112.33,107.06,107.58,115738243.0
2021-08-10 04:00:00,AMD,107.895,109.17,104.36,106.48,113012297.0
2021-08-11 04:00:00,AMD,107.6,109.79,105.62,107.68,91783349.0
2021-08-12 04:00:00,AMD,107.39,108.44,105.86,106.5,60590725.0
2021-08-13 04:00:00,AMD,107.17,111.71,106.57,110.55,100135745.0
2021-08-16 04:00:00,AMD,110.2,111.58,105.865,107.48,73398938.0
2021-08-17 04:00:00,AMD,106.6435,108.7,105.35,107.56,74053905.0
2021-08-18 04:00:00,AMD,107.35,108.07,103.27,103.44,79373543.0
2021-08-19 04:00:00,AMD,103.315,106.18,101.975,103.7,71117494.0
2021-08-20 04:00:00,AMD,104.32,105.98,103.99,104.65,55227562.0
2021-08-23 04:00:00,AMD,105.295,109.02,104.86,108.77,68835281.0
2021-08-24 04:00:00,AMD,109.45,109.61,107.28,107.65,51239297.0
2021-08-25 04:00:00,AMD,108.13,109.91,107.45,108.3,45235044.0
2021-08-26 04:00:00,AMD,108.57,109.2299,106.84,107.27,51442548.0
2021-08-27 04:00:00,AMD,108.01,111.78,107.8,111.4,61027014.0
2021-08-30 04:00:00,AMD,112.61,114.4899,111.26,111.32,56130467.0
2021-08-31 04:00:00,AMD,111.26,111.26,109.0343,110.72,49338955.0
2021-09-01 04:00:00,AMD,111.3,111.85,109.85,109.99,38579559.0
2021-09-02 04:00:00,AMD,110.32,110.88,108.77,109.2,40102763.0
2021-09-03 04:00:00,AMD,108.85,111.17,108.5,109.92,42608980.0
2021-09-07 04:00:00,AMD,109.955,110.58,108.66,109.15,29133561.0
2021-09-08 04:00:00,AMD,108.88,109.3,105.52,106.17,43067911.0
2021-09-09 04:00:00,AMD,106.56,107.2953,105.84,106.15,31848123.0
2021-09-10 04:00:00,AMD,106.99,106.9913,104.98,105.2,32602293.0
2021-09-13 04:00:00,AMD,105.26,105.28,102.63,104.8,38282848.0
2021-09-14 04:00:00,AMD,105.52,106.82,104.42,105.73,41198020.0
2021-09-15 04:00:00,AMD,106.0,106.32,104.03,105.6,38484223.0
2021-09-16 04:00:00,AMD,104.915,106.75,103.76,106.22,38125269.0
2021-09-17 04:00:00,AMD,105.555,105.98,103.71,103.88,43403337.0
2021-09-20 04:00:00,AMD,101.58,102.51,99.51,101.55,45228411.0
2021-09-21 04:00:00,AMD,102.15,103.4299,101.18,102.82,34431501.0
2021-09-22 04:00:00,AMD,102.815,104.56,102.21,104.38,34126280.0
2021-09-23 04:00:00,AMD,104.89,106.86,103.89,106.15,32816657.0
2021-09-24 04:00:00,AMD,105.185,106.0499,104.68,105.8,26482610.0
2021-09-27 04:00:00,AMD,105.065,108.44,103.44,108.16,51940349.0
2021-09-28 04:00:00,AMD,106.835,107.65,101.42,101.52,74468968.0
2021-09-29 04:00:00,AMD,102.295,102.66,99.81,100.35,52203721.0
2021-09-30 04:00:00,AMD,102.08,104.44,101.99,102.9,58244761.0
2021-10-01 04:00:00,AMD,102.6,103.0,100.64,102.45,41491585.0
2021-10-04 04:00:00,AMD,101.742,101.85,99.82,100.34,41967149.0
2021-10-05 04:00:00,AMD,100.92,102.8699,100.6101,101.81,31207249.0
2021-10-06 04:00:00,AMD,100.445,103.72,100.35,103.64,39071703.0
2021-10-07 04:00:00,AMD,104.6,107.95,104.46,106.45,41543109.0
2021-10-08 04:00:00,AMD,106.55,107.28,104.89,105.06,31054371.0
2021-10-11 04:00:00,AMD,104.62,107.2,104.022,104.68,31284389.0
2021-10-12 04:00:00,AMD,105.165,106.04,104.34,105.04,34039906.0
2021-10-13 04:00:00,AMD,106.275,109.88,106.25,109.16,55631917.0
2021-10-14 04:00:00,AMD,110.5,112.22,109.6301,111.99,46900157.0
2021-10-15 04:00:00,AMD,112.505,112.835,111.11,112.12,34203008.0
2021-10-18 04:00:00,AMD,111.9,116.88,111.37,116.43,47537763.0
2021-10-19 04:00:00,AMD,116.16,117.17,114.47,116.33,39531438.0
2021-10-20 04:00:00,AMD,116.29,118.3001,115.421,116.39,34244811.0
2021-10-21 04:00:00,AMD,116.5,119.68,116.26,119.33,34794945.0
2021-10-22 04:00:00,AMD,120.825,121.56,118.37,119.82,38992694.0
2021-10-25 04:00:00,AMD,120.515,123.4599,118.6,122.36,47830968.0
2021-10-26 04:00:00,AMD,122.99,127.2,122.5782,122.93,59458928.0
2021-10-27 04:00:00,AMD,121.63,128.08,121.05,122.28,98245324.0
2021-10-28 04:00:00,AMD,122.855,123.5,120.26,121.16,58002459.0
2021-10-29 04:00:00,AMD,120.95,122.57,119.88,120.23,43320125.0
2021-11-01 04:00:00,AMD,119.45,125.67,118.1301,125.23,54559780.0
