Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,BABA,209.9235,210.94,206.02,209.51,31669746.0
2021-05-17 04:00:00,BABA,210.615,213.15,209.44,211.05,20633075.0
2021-05-18 04:00:00,BABA,212.5,215.17,211.42,213.72,19405957.0
2021-05-19 04:00:00,BABA,211.1,212.91,210.12,212.54,16993691.0
2021-05-20 04:00:00,BABA,212.995,217.63,212.63,216.99,19255465.0
2021-05-21 04:00:00,BABA,215.23,215.89,209.87,211.06,22824993.0
2021-05-24 04:00:00,BABA,210.03,212.01,208.7,210.44,16075435.0
2021-05-25 04:00:00,BABA,212.83,214.05,211.01,211.13,14130512.0
2021-05-26 04:00:00,BABA,212.3,213.75,211.54,211.78,9585878.0
2021-05-27 04:00:00,BABA,214.17,215.46,212.53,212.74,18807530.0
2021-05-28 04:00:00,BABA,212.76,214.53,212.06,213.96,10617181.0
2021-06-01 04:00:00,BABA,223.02,223.13,218.24,219.48,23624457.0
2021-06-02 04:00:00,BABA,219.43,219.94,217.46,219.59,13243211.0
2021-06-03 04:00:00,BABA,218.0,218.7,216.305,217.04,12604800.0
2021-06-04 04:00:00,BABA,218.28,219.08,217.14,219.02,9182206.0
2021-06-07 04:00:00,BABA,218.0,218.4,215.69,216.9,10076294.0
2021-06-08 04:00:00,BABA,217.29,218.23,214.74,215.82,9621922.0
2021-06-09 04:00:00,BABA,215.21,216.57,213.31,213.32,10349439.0
2021-06-10 04:00:00,BABA,213.5,214.8,212.21,213.07,10886687.0
2021-06-11 04:00:00,BABA,213.45,213.46,211.0,211.64,12465068.0
2021-06-14 04:00:00,BABA,212.25,215.165,212.2435,213.94,10916837.0
2021-06-15 04:00:00,BABA,214.17,214.49,209.64,210.06,12353695.0
2021-06-16 04:00:00,BABA,209.75,211.62,208.2256,209.32,11066332.0
2021-06-17 04:00:00,BABA,209.9,212.49,209.77,211.6,11342651.0
2021-06-18 04:00:00,BABA,212.01,213.84,210.59,212.3,13770843.0
2021-06-21 04:00:00,BABA,210.55,211.78,208.99,211.06,9148059.0
2021-06-22 04:00:00,BABA,210.42,211.66,209.86,211.32,11218512.0
2021-06-23 04:00:00,BABA,214.19,216.33,213.13,214.86,14002085.0
2021-06-24 04:00:00,BABA,216.99,219.58,215.56,218.38,13648562.0
2021-06-25 04:00:00,BABA,221.71,230.25,221.1,228.5,27640318.0
2021-06-28 04:00:00,BABA,229.5,230.89,226.72,228.59,13827766.0
2021-06-29 04:00:00,BABA,226.7,229.64,225.602,229.44,10378893.0
2021-06-30 04:00:00,BABA,226.99,227.98,225.68,226.78,9532744.0
2021-07-01 04:00:00,BABA,228.07,228.85,221.55,221.87,13460947.0
2021-07-02 04:00:00,BABA,219.16,219.5,216.46,217.75,13195784.0
2021-07-06 04:00:00,BABA,215.32,215.4,209.3733,211.6,24019901.0
2021-07-07 04:00:00,BABA,211.61,212.05,207.82,208.0,18593534.0
2021-07-08 04:00:00,BABA,201.71,202.28,198.26,199.85,34346711.0
2021-07-09 04:00:00,BABA,202.05,207.268,201.5,205.94,17165664.0
2021-07-12 04:00:00,BABA,203.9,206.455,203.02,205.48,11498477.0
2021-07-13 04:00:00,BABA,209.23,212.81,208.19,209.51,17571002.0
2021-07-14 04:00:00,BABA,215.5,216.35,211.03,211.5,19574296.0
2021-07-15 04:00:00,BABA,215.11,216.6,213.1606,214.76,14514418.0
2021-07-16 04:00:00,BABA,214.85,215.2,211.46,212.1,11216350.0
2021-07-19 04:00:00,BABA,206.1,209.08,203.24,208.91,16104658.0
2021-07-20 04:00:00,BABA,209.0,211.5,207.4668,210.59,10032854.0
2021-07-21 04:00:00,BABA,209.15,211.85,208.42,211.08,7769207.0
2021-07-22 04:00:00,BABA,212.64,216.39,212.6,214.04,10540809.0
2021-07-23 04:00:00,BABA,206.29,206.89,203.56,206.53,25838364.0
2021-07-26 04:00:00,BABA,198.37,198.575,190.88,191.76,56293546.0
2021-07-27 04:00:00,BABA,183.59,186.9,179.6701,186.07,60219059.0
2021-07-28 04:00:00,BABA,190.23,198.0,189.76,196.01,34898210.0
2021-07-29 04:00:00,BABA,201.045,201.14,194.91,197.54,23363233.0
2021-07-30 04:00:00,BABA,190.58,196.045,190.49,195.19,17250595.0
2021-08-02 04:00:00,BABA,196.27,202.07,196.25,200.09,17844369.0
2021-08-03 04:00:00,BABA,195.01,197.44,192.0,197.38,20087916.0
2021-08-04 04:00:00,BABA,197.49,203.275,196.91,200.71,22323031.0
2021-08-05 04:00:00,BABA,199.27,200.29,197.64,199.28,9881409.0
2021-08-06 04:00:00,BABA,199.25,199.32,195.68,196.39,11967719.0
2021-08-09 04:00:00,BABA,194.58,195.5,192.82,195.25,14640158.0
2021-08-10 04:00:00,BABA,197.27,198.45,195.0727,195.73,9283680.0
2021-08-11 04:00:00,BABA,196.6,196.92,194.73,194.86,8980245.0
2021-08-12 04:00:00,BABA,191.17,192.98,189.685,191.66,12885440.0
2021-08-13 04:00:00,BABA,188.61,189.26,186.71,188.62,15376980.0
2021-08-16 04:00:00,BABA,185.0,186.26,181.51,182.71,21028957.0
2021-08-17 04:00:00,BABA,175.92,177.89,173.15,173.73,40491975.0
2021-08-18 04:00:00,BABA,174.1,175.36,172.11,172.35,34322132.0
