Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,BAC,42.06,42.479,41.92,42.36,31387424.0
2021-05-17 04:00:00,BAC,42.24,42.85,42.16,42.74,33140948.0
2021-05-18 04:00:00,BAC,42.7,42.95,42.14,42.16,38255850.0
2021-05-19 04:00:00,BAC,41.65,42.0,41.31,41.97,43211620.0
2021-05-20 04:00:00,BAC,41.9,42.125,41.46,41.87,37251043.0
2021-05-21 04:00:00,BAC,42.02,42.6,41.89,42.4,41186276.0
2021-05-24 04:00:00,BAC,42.58,42.78,42.25,42.63,30657521.0
2021-05-25 04:00:00,BAC,42.69,43.255,41.93,42.01,52899320.0
2021-05-26 04:00:00,BAC,42.02,42.25,41.66,42.04,41847193.0
2021-05-27 04:00:00,BAC,42.48,42.845,42.115,42.55,53452751.0
2021-05-28 04:00:00,BAC,42.66,42.705,42.05,42.39,38809248.0
2021-06-01 04:00:00,BAC,42.95,43.28,42.765,42.92,43659056.0
2021-06-02 04:00:00,BAC,43.1,43.17,42.6,42.94,34555597.0
2021-06-03 04:00:00,BAC,42.77,43.49,42.68,43.25,47075665.0
2021-06-04 04:00:00,BAC,43.24,43.39,42.83,43.27,37537109.0
2021-06-07 04:00:00,BAC,43.27,43.39,43.06,43.12,28763213.0
2021-06-08 04:00:00,BAC,42.86,43.24,42.425,42.88,42250479.0
2021-06-09 04:00:00,BAC,42.47,42.73,42.11,42.32,42714637.0
2021-06-10 04:00:00,BAC,42.76,42.9599,41.615,41.69,40652967.0
2021-06-11 04:00:00,BAC,41.81,41.89,41.51,41.86,31634971.0
2021-06-14 04:00:00,BAC,41.85,41.905,41.06,41.36,36323818.0
2021-06-15 04:00:00,BAC,41.28,41.56,40.9,41.39,39890996.0
2021-06-16 04:00:00,BAC,41.28,41.985,40.67,41.62,64080944.0
2021-06-17 04:00:00,BAC,42.02,42.1,39.72,39.8,81313327.0
2021-06-18 04:00:00,BAC,39.01,39.3,38.49,38.78,108925673.0
2021-06-21 04:00:00,BAC,39.12,39.78,39.03,39.75,48684877.0
2021-06-22 04:00:00,BAC,39.88,40.26,39.28,39.97,44579493.0
2021-06-23 04:00:00,BAC,40.16,40.42,40.07,40.2,32614067.0
2021-06-24 04:00:00,BAC,40.44,41.01,40.18,40.83,37591860.0
2021-06-25 04:00:00,BAC,41.27,41.83,40.84,41.62,54267058.0
2021-06-28 04:00:00,BAC,41.46,41.58,41.1,41.56,34989241.0
2021-06-29 04:00:00,BAC,41.63,41.95,40.75,40.89,38906318.0
2021-06-30 04:00:00,BAC,40.76,41.355,40.72,41.23,29400263.0
2021-07-01 04:00:00,BAC,41.56,41.7002,41.205,41.54,28426644.0
2021-07-02 04:00:00,BAC,41.37,41.47,41.1,41.15,29229025.0
2021-07-06 04:00:00,BAC,40.81,40.88,39.87,40.07,47940459.0
2021-07-07 04:00:00,BAC,39.57,40.0,39.36,39.75,44336537.0
2021-07-08 04:00:00,BAC,38.62,39.235,38.48,38.78,53749986.0
2021-07-09 04:00:00,BAC,39.65,40.24,39.4,40.04,44514642.0
2021-07-12 04:00:00,BAC,39.79,40.81,39.6366,40.63,43189645.0
2021-07-13 04:00:00,BAC,40.48,40.48,39.58,39.86,54721268.0
