Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,MA,363.03,364.7137,361.4944,363.91,3003975.0
2021-05-17 04:00:00,MA,362.3,364.06,358.06,363.3,2548043.0
2021-05-18 04:00:00,MA,367.0,369.84,362.88,363.07,3470233.0
2021-05-19 04:00:00,MA,357.33,361.15,355.37,360.98,3641228.0
2021-05-20 04:00:00,MA,362.94,369.41,362.49,367.7,4131216.0
2021-05-21 04:00:00,MA,369.14,372.53,367.46,367.6,2827404.0
2021-05-24 04:00:00,MA,370.08,373.7446,369.64,372.38,2309077.0
2021-05-25 04:00:00,MA,373.13,373.75,366.82,367.22,3953557.0
2021-05-26 04:00:00,MA,369.0,369.905,362.05,362.65,3158982.0
2021-05-27 04:00:00,MA,364.55,366.395,360.54,362.0,5467111.0
2021-05-28 04:00:00,MA,363.5,365.41,360.415,360.58,3669807.0
2021-06-01 04:00:00,MA,364.48,365.4,359.54,359.79,3193991.0
2021-06-02 04:00:00,MA,363.53,371.17,362.88,366.85,3594521.0
2021-06-03 04:00:00,MA,363.36,366.69,361.731,361.82,2648380.0
2021-06-04 04:00:00,MA,364.31,366.63,363.7,366.02,2329024.0
2021-06-07 04:00:00,MA,367.8,371.35,363.28,364.08,2176679.0
2021-06-08 04:00:00,MA,365.0,367.68,363.23,365.26,3263141.0
2021-06-09 04:00:00,MA,366.94,369.32,363.33,363.33,2556481.0
2021-06-10 04:00:00,MA,364.69,365.64,361.96,364.3,2484616.0
2021-06-11 04:00:00,MA,365.54,366.85,363.8,365.5,2742010.0
2021-06-14 04:00:00,MA,366.0,366.63,362.095,366.52,2548221.0
2021-06-15 04:00:00,MA,367.336,368.75,362.74,368.12,3611546.0
2021-06-16 04:00:00,MA,369.38,369.38,361.3,363.82,3127744.0
2021-06-17 04:00:00,MA,363.5,369.15,361.23,367.29,3874438.0
2021-06-18 04:00:00,MA,362.12,370.375,362.0,367.42,5416713.0
2021-06-21 04:00:00,MA,368.62,376.45,366.2,373.09,3140447.0
2021-06-22 04:00:00,MA,373.99,378.76,372.02,378.04,3632223.0
2021-06-23 04:00:00,MA,378.0,378.7159,374.29,375.14,2311045.0
2021-06-24 04:00:00,MA,379.0,380.06,372.9,374.75,2846373.0
2021-06-25 04:00:00,MA,375.45,379.65,373.325,379.61,4044020.0
2021-06-28 04:00:00,MA,380.92,380.92,365.12,367.68,4862145.0
2021-06-29 04:00:00,MA,369.01,371.39,367.91,368.0,3462250.0
2021-06-30 04:00:00,MA,367.95,370.17,364.27,365.09,2937592.0
2021-07-01 04:00:00,MA,366.05,371.21,365.6,370.71,3148493.0
2021-07-02 04:00:00,MA,372.69,375.49,372.15,375.03,2823494.0
2021-07-06 04:00:00,MA,376.65,378.235,371.5,376.12,2797790.0
2021-07-07 04:00:00,MA,376.79,378.15,372.45,373.92,3220077.0
2021-07-08 04:00:00,MA,367.5,370.59,365.65,370.19,2864270.0
2021-07-09 04:00:00,MA,371.85,373.48,369.89,372.94,2422691.0
2021-07-12 04:00:00,MA,375.0,376.07,372.08,375.56,2733786.0
2021-07-13 04:00:00,MA,375.55,386.64,375.55,383.71,5210907.0
2021-07-14 04:00:00,MA,382.98,391.63,382.98,390.8,4209230.0
2021-07-15 04:00:00,MA,390.14,393.3,387.45,390.23,3822278.0
2021-07-16 04:00:00,MA,393.15,393.46,385.33,387.12,2784133.0
2021-07-19 04:00:00,MA,378.0,378.6,363.365,365.45,6890899.0
2021-07-20 04:00:00,MA,367.0,376.6,365.27,374.39,3563623.0
2021-07-21 04:00:00,MA,376.03,380.9041,375.05,380.06,2375495.0
2021-07-22 04:00:00,MA,380.3,382.86,377.05,382.16,4228620.0
2021-07-23 04:00:00,MA,385.09,394.5,385.09,393.26,3770265.0
2021-07-26 04:00:00,MA,391.67,392.89,388.27,392.8,2343119.0
2021-07-27 04:00:00,MA,390.0,395.28,385.89,390.27,2837019.0
2021-07-28 04:00:00,MA,391.62,391.73,382.325,383.44,3417023.0
2021-07-29 04:00:00,MA,387.5,394.74,387.5,388.81,3774017.0
2021-07-30 04:00:00,MA,389.0,389.0,383.08,385.94,2533294.0
2021-08-02 04:00:00,MA,389.3,389.98,373.8,375.26,3412803.0
2021-08-03 04:00:00,MA,376.66,376.67,359.57,367.6,6328497.0
2021-08-04 04:00:00,MA,367.28,369.26,363.43,368.01,3203182.0
2021-08-05 04:00:00,MA,368.2,371.96,367.0,371.94,2562647.0
2021-08-06 04:00:00,MA,371.42,375.5,371.0,374.53,2038730.0
2021-08-09 04:00:00,MA,374.19,374.5,368.89,370.68,2400796.0
2021-08-10 04:00:00,MA,372.29,372.75,364.11,367.84,3225280.0
2021-08-11 04:00:00,MA,368.55,369.96,363.75,364.24,3267708.0
2021-08-12 04:00:00,MA,362.57,363.22,357.85,361.98,3803216.0
2021-08-13 04:00:00,MA,362.26,363.4999,360.63,362.75,2304638.0
2021-08-16 04:00:00,MA,360.5,363.81,356.62,363.56,2937742.0
2021-08-17 04:00:00,MA,362.0,364.46,359.79,363.23,2812781.0
2021-08-18 04:00:00,MA,361.18,365.6814,360.59,360.95,2774545.0
2021-08-19 04:00:00,MA,356.9,360.14,354.72,357.31,2700413.0
2021-08-20 04:00:00,MA,357.36,358.32,353.33,354.99,4135879.0
2021-08-23 04:00:00,MA,357.47,362.24,356.75,361.01,3537868.0
2021-08-24 04:00:00,MA,363.03,366.1,361.465,361.78,3032033.0
2021-08-25 04:00:00,MA,361.96,362.4,358.5,359.1,2340361.0
2021-08-26 04:00:00,MA,358.0,358.2,351.7973,352.86,3946332.0
2021-08-27 04:00:00,MA,352.46,356.5,351.6538,355.73,3698298.0
2021-08-30 04:00:00,MA,354.8,358.04,352.25,353.05,4011296.0
2021-08-31 04:00:00,MA,352.94,355.22,344.68,346.23,6780389.0
2021-09-01 04:00:00,MA,347.38,352.045,347.3,349.57,4499639.0
2021-09-02 04:00:00,MA,350.51,350.535,339.33,341.28,7413609.0
2021-09-03 04:00:00,MA,339.93,344.14,338.93,340.23,5164360.0
2021-09-07 04:00:00,MA,344.89,348.0,343.02,344.71,4883518.0
2021-09-08 04:00:00,MA,345.0,352.0,345.0,351.04,5037673.0
2021-09-09 04:00:00,MA,350.71,353.64,349.92,351.41,3716196.0
2021-09-10 04:00:00,MA,354.928,355.0,347.02,347.39,3437651.0
