Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,XLF,37.5,37.975,37.46,37.88,44907725.0
2021-05-17 04:00:00,XLF,37.76,37.99,37.61,37.95,40548878.0
2021-05-18 04:00:00,XLF,37.92,38.05,37.4,37.42,40480084.0
2021-05-19 04:00:00,XLF,36.99,37.21,36.59,37.19,63778247.0
2021-05-20 04:00:00,XLF,37.25,37.465,36.95,37.21,59654491.0
2021-05-21 04:00:00,XLF,37.36,37.78,37.34,37.58,45174221.0
2021-05-24 04:00:00,XLF,37.74,37.85,37.55,37.76,29437597.0
2021-05-25 04:00:00,XLF,37.81,38.1,37.33,37.38,38939592.0
2021-05-26 04:00:00,XLF,37.52,37.66,37.22,37.49,38738128.0
2021-05-27 04:00:00,XLF,37.83,38.02,37.609,37.92,39987333.0
2021-05-28 04:00:00,XLF,38.09,38.09,37.71,37.99,39416190.0
2021-06-01 04:00:00,XLF,38.37,38.48,38.115,38.22,36006197.0
2021-06-02 04:00:00,XLF,38.34,38.38,38.07,38.28,37572992.0
2021-06-03 04:00:00,XLF,38.16,38.6,38.04,38.37,55051792.0
2021-06-04 04:00:00,XLF,38.42,38.5,38.13,38.47,27496202.0
2021-06-07 04:00:00,XLF,38.53,38.53,38.15,38.22,37560040.0
2021-06-08 04:00:00,XLF,38.01,38.24,37.73,38.12,48250022.0
2021-06-09 04:00:00,XLF,37.97,38.02,37.66,37.76,41327206.0
2021-06-10 04:00:00,XLF,38.08,38.18,37.29,37.32,54867359.0
2021-06-11 04:00:00,XLF,37.39,37.575,37.38,37.56,40814334.0
2021-06-14 04:00:00,XLF,37.49,37.545,36.95,37.17,50741876.0
2021-06-15 04:00:00,XLF,37.18,37.43,37.0,37.24,51686559.0
2021-06-16 04:00:00,XLF,37.12,37.45,36.74,37.2,85526329.0
2021-06-17 04:00:00,XLF,37.39,37.41,35.99,36.1,97879459.0
2021-06-18 04:00:00,XLF,35.62,35.7408,35.18,35.23,181492682.0
2021-06-21 04:00:00,XLF,35.44,35.93,35.38,35.91,90232477.0
2021-06-22 04:00:00,XLF,35.99,36.11,35.63,35.97,42879720.0
2021-06-23 04:00:00,XLF,36.0,36.21,35.95,36.04,48311438.0
2021-06-24 04:00:00,XLF,36.25,36.58,36.08,36.49,43181046.0
2021-06-25 04:00:00,XLF,36.68,37.025,36.465,36.93,57178954.0
2021-06-28 04:00:00,XLF,36.86,36.89,36.45,36.66,70230992.0
2021-06-29 04:00:00,XLF,36.85,37.045,36.43,36.53,61769425.0
2021-06-30 04:00:00,XLF,36.42,36.77,36.41,36.69,42657277.0
2021-07-01 04:00:00,XLF,36.87,37.0,36.68,36.98,36732801.0
2021-07-02 04:00:00,XLF,36.98,37.02,36.7901,36.94,27131824.0
2021-07-06 04:00:00,XLF,36.85,36.87,36.12,36.36,49416670.0
2021-07-07 04:00:00,XLF,36.14,36.495,36.06,36.41,43907394.0
2021-07-08 04:00:00,XLF,35.83,36.04,35.51,35.68,75399264.0
2021-07-09 04:00:00,XLF,36.2,36.7599,36.09,36.71,70743908.0
2021-07-12 04:00:00,XLF,36.49,37.14,36.33,37.07,63100152.0
2021-07-13 04:00:00,XLF,36.95,37.01,36.535,36.67,44666287.0
2021-07-14 04:00:00,XLF,36.69,36.93,36.1,36.5,69828013.0
2021-07-15 04:00:00,XLF,36.14,36.85,36.14,36.62,54199604.0
