ticker,date,strike,contract,opt_open,opt_high,opt_low,opt_close,fill,exit_close,exit_trail,exit_peak,pct_close,pct_trail,pct_peak,dd_pct,had_dd_15,had_peak_15,ambiguous,category,ct,pnl_close,pnl_trail,pnl_peak
QQQ,2026-04-16,643,O:QQQ260416C00643000,0.61,0.78,0.01,0.01,0.37,0.01,0.663,0.78,-97.2972972972973,79.18918918918921,110.81081081081084,-97.2972972972973,True,True,True,AMBIGUOUS,13,-468.0,380.90000000000003,533.0
QQQ,2026-04-20,652,O:QQQ260420C00652000,0.54,0.67,0.01,0.01,0.33,0.01,0.5695,0.67,-96.96969696969697,72.57575757575756,103.03030303030303,-96.96969696969697,True,True,True,AMBIGUOUS,15,-480.0,359.25,510.00000000000006
IWM,2026-04-21,283,O:IWM260421C00283000,0.06,0.09,0.01,0.01,0.04,0.01,0.0765,0.09,-75.0,91.24999999999999,125.0,-75.0,True,True,True,AMBIGUOUS,125,-375.0,456.25,624.9999999999999
QQQ,2026-04-21,651,O:QQQ260421C00651000,0.8,1.06,0.01,0.01,0.48,0.01,0.901,1.06,-97.91666666666666,87.70833333333334,120.83333333333334,-97.91666666666666,True,True,True,AMBIGUOUS,10,-469.99999999999994,421.0000000000001,580.0000000000001
SPY,2026-04-21,712,O:SPY260421C00712000,0.79,0.89,0.01,0.01,0.48,0.01,0.7565,0.89,-97.91666666666666,57.60416666666666,85.41666666666667,-97.91666666666666,True,True,True,AMBIGUOUS,10,-469.99999999999994,276.49999999999994,410.00000000000006
SPY,2026-04-23,711,O:SPY260423C00711000,0.86,1.83,0.01,0.01,0.52,0.01,1.5555,1.83,-98.07692307692307,199.13461538461542,251.9230769230769,-98.07692307692307,True,True,True,AMBIGUOUS,9,-459.0,931.9500000000002,1179.0
IWM,2026-04-23,277,O:IWM260423C00277000,0.83,1.33,0.01,0.01,0.5,0.01,1.1305,1.33,-98.0,126.10000000000001,166.0,-98.0,True,True,True,AMBIGUOUS,10,-490.00000000000006,630.5000000000001,830.0000000000001
QQQ,2026-04-28,663,O:QQQ260428C00663000,0.36,0.6,0.01,0.01,0.22,0.01,0.51,0.6,-95.45454545454545,131.81818181818184,172.72727272727272,-95.45454545454545,True,True,True,AMBIGUOUS,22,-462.0,638.0000000000001,836.0
IWM,2026-04-28,281,O:IWM260428C00281000,0.03,0.04,0.01,0.01,0.02,0.01,0.034,0.04,-50.0,70.00000000000001,100.0,-50.0,True,True,True,AMBIGUOUS,250,-250.0,350.00000000000006,500.0
IWM,2026-04-29,279,O:IWM260429C00279000,0.03,0.05,0.01,0.01,0.02,0.01,0.0425,0.05,-50.0,112.5,150.0,-50.0,True,True,True,AMBIGUOUS,250,-250.0,562.5000000000001,750.0000000000001
SPY,2026-04-30,719,O:SPY260430C00719000,0.39,1.11,0.06,0.5,0.26,0.5,0.9435,1.11,92.30769230769229,262.88461538461536,326.9230769230769,-76.92307692307693,True,True,True,AMBIGUOUS,19,455.99999999999994,1298.6499999999999,1615.0000000000002
SPY,2026-05-04,724,O:SPY260504C00724000,0.23,0.29,0.01,0.01,0.14,0.01,0.24649999999999997,0.29,-92.85714285714286,76.07142857142853,107.14285714285711,-92.85714285714286,True,True,True,AMBIGUOUS,35,-455.0,372.74999999999983,524.9999999999999
QQQ,2026-05-04,678,O:QQQ260504C00678000,0.71,0.9,0.01,0.01,0.43,0.01,0.765,0.9,-97.67441860465115,77.90697674418605,109.30232558139537,-97.67441860465115,True,True,True,AMBIGUOUS,11,-462.0,368.5,517.0
IWM,2026-05-07,288,O:IWM260507C00288000,0.64,0.64,0.01,0.01,0.39,0.01,0.544,0.64,-97.43589743589743,39.4871794871795,64.1025641025641,-97.43589743589743,True,True,True,AMBIGUOUS,12,-456.00000000000006,184.80000000000004,300.0
QQQ,2026-05-07,701,O:QQQ260507C00701000,0.52,1.52,0.01,0.01,0.32,0.01,1.292,1.52,-96.875,303.74999999999994,375.0,-96.875,True,True,True,AMBIGUOUS,15,-465.00000000000006,1458.0,1800.0
SPY,2026-05-07,739,O:SPY260507C00739000,0.29,0.29,0.01,0.01,0.18,0.01,0.24649999999999997,0.29,-94.44444444444444,36.94444444444442,61.111111111111114,-94.44444444444444,True,True,True,AMBIGUOUS,27,-459.0,179.54999999999995,297.0
IWM,2026-05-12,287,O:IWM260512C00287000,0.15,0.15,0.01,0.01,0.09,0.01,0.1275,0.15,-88.88888888888889,41.66666666666667,66.66666666666667,-88.88888888888889,True,True,True,AMBIGUOUS,55,-440.00000000000006,206.25000000000006,330.0
SPY,2026-05-12,741,O:SPY260512C00741000,0.19,0.21,0.01,0.01,0.12,0.01,0.1785,0.21,-91.66666666666666,48.75000000000001,75.0,-91.66666666666666,True,True,True,AMBIGUOUS,41,-451.0,239.85,369.0
SPY,2026-05-13,744,O:SPY260513C00744000,0.13,0.66,0.01,0.01,0.08,0.01,0.561,0.66,-87.5,601.25,725.0,-87.5,True,True,True,AMBIGUOUS,62,-434.00000000000006,2982.2000000000003,3596.000000000001
