ticker,date,drop_pts,underlying_open,underlying_high,underlying_low,underlying_close,strike,contract,offset_from_low,opt_open,opt_high,opt_low,opt_close,entry_est,recovery_target,target_price_est,est_gain_pct,contracts,cost_usd,idle_usd,exit_optim_usd,exit_real_usd,exit_conserv_usd,pnl_optim_usd,pnl_real_usd,pnl_conserv_usd,band
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,266.0,O:IWM260123C00266000,1.54,3.19,3.19,0.01,0.01,0.01,269.04,3.0900000000000203,30800.000000000204,1,319.0,181.0,319.0,319.0,1.0,0.0,0.0,-318.0,3–5 pts
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,264.0,O:IWM260128C00264000,1.44,2.45,3.0,0.01,0.01,0.01,265.98,2.030000000000018,20200.000000000182,2,490.00000000000006,9.999999999999943,600.0,545.0,2.0,109.99999999999994,54.99999999999994,-488.00000000000006,3–5 pts
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,263.0,O:IWM260129C00263000,3.59,1.7,2.37,0.07,0.38,0.07,264.07,1.1199999999999932,1499.99999999999,2,340.0,160.0,474.0,407.0,76.0,134.0,67.0,-264.0,3–5 pts
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,260.0,O:IWM260130C00260000,2.06,1.87,3.21,0.01,0.02,0.01,261.07,1.1199999999999932,11099.99999999993,2,374.0,126.0,642.0,508.0,4.0,268.0,134.0,-370.0,3–5 pts
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,262.0,O:IWM260203C00262000,3.45,1.52,3.15,0.01,1.0,0.01,263.06,1.1100000000000023,11000.000000000022,3,456.00000000000006,43.99999999999994,944.9999999999999,700.5,300.0,488.99999999999983,244.49999999999994,-156.00000000000006,3–5 pts
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,262.0,O:IWM260204C00262000,4.86,2.75,2.89,0.01,0.01,0.01,264.16,2.210000000000025,22000.00000000025,1,275.0,225.0,289.0,282.0,1.0,14.0,7.0,-274.0,7–10 pts
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,257.0,O:IWM260205C00257000,1.95,2.95,4.41,0.01,0.02,0.01,258.5,1.55,15400.0,1,295.0,205.0,441.0,368.0,2.0,146.0,73.0,-293.0,3–5 pts
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,266.0,O:IWM260211C00266000,3.9,2.75,3.11,0.01,0.01,0.01,268.47,2.520000000000027,25100.000000000273,1,275.0,225.0,311.0,293.0,1.0,36.0,18.0,-274.0,5–7 pts
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,264.0,O:IWM260217C00264000,4.94,0.63,1.43,0.01,0.01,0.01,262.375,0.05,400.0,7,441.0,59.0,1001.0,721.0,7.000000000000001,560.0,280.0,-434.0,3–5 pts
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,261.0,O:IWM260223C00261000,2.9,2.75,3.35,0.01,0.02,0.01,263.4,2.449999999999977,24399.999999999774,1,275.0,225.0,335.0,305.0,2.0,60.0,30.0,-273.0,5–7 pts
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,260.0,O:IWM260303C00260000,6.69,0.37,1.3,0.01,0.01,0.01,256.8,0.05,400.0,13,480.99999999999994,19.000000000000057,1690.0000000000002,1085.5,13.0,1209.0000000000002,604.5,-467.99999999999994,3–5 pts
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,257.0,O:IWM260305C00257000,2.84,2.52,3.66,0.01,0.01,0.01,258.99,2.040000000000009,20300.00000000009,1,252.0,248.0,366.0,309.0,1.0,114.0,57.0,-251.0,3–5 pts
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,252.0,O:IWM260309C00252000,7.61,0.46,2.66,0.01,0.87,0.01,247.59,0.05,400.0,10,460.00000000000006,39.99999999999994,2660.0,1560.0000000000002,869.9999999999999,2200.0,1100.0000000000002,409.99999999999983,3–5 pts
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,247.0,O:IWM260313C00247000,1.47,3.03,3.89,0.01,0.01,0.01,249.26,2.3099999999999907,22999.99999999991,1,303.0,197.0,389.0,346.0,1.0,86.0,43.0,-302.0,3–5 pts
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,243.0,O:IWM260320C00243000,2.67,4.54,4.57,0.01,0.11,0.01,246.97,4.019999999999999,40099.999999999985,1,454.0,46.0,457.0,455.5,11.0,3.0,1.5,-443.0,5–7 pts
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,245.0,O:IWM260327C00245000,2.59,2.0,2.26,0.01,0.02,0.01,246.01,1.059999999999991,10499.999999999909,2,400.0,100.0,451.99999999999994,426.0,4.0,51.99999999999994,26.0,-396.0,3–5 pts
IWM,2026-03-30,6.66,245.35,245.37,238.69,239.61,240.0,O:IWM260330C00240000,1.31,4.58,4.8,0.01,0.02,0.01,245.35,5.399999999999994,53899.99999999994,1,458.0,42.0,480.0,468.99999999999994,2.0,22.0,10.999999999999943,-456.0,5–7 pts
IWM,2026-04-08,3.11,261.52,262.27,258.41,260.47,261.0,O:IWM260408C00261000,2.59,1.66,2.0,0.01,0.02,0.01,261.52,0.5699999999999819,5599.999999999818,3,497.99999999999994,2.000000000000057,600.0,549.0,6.0,102.00000000000006,51.00000000000006,-491.99999999999994,3–5 pts
IWM,2026-04-21,4.42,278.175,279.79,273.76,274.51,276.0,O:IWM260421C00276000,2.24,2.48,3.81,0.01,0.25,0.01,278.175,2.225000000000011,22150.000000000113,2,496.0,4.0,762.0,629.0,50.0,266.0,133.0,-446.0,3–5 pts
