ticker,date,drop_pts,underlying_open,underlying_high,underlying_low,underlying_close,strike,contract,offset_from_low,opt_open,opt_high,opt_low,opt_close
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,265.0,O:IWM260123C00265000,0.54,3.99,3.99,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,266.0,O:IWM260123C00266000,1.54,3.19,3.19,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,267.0,O:IWM260123C00267000,2.54,2.35,2.35,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,268.0,O:IWM260123C00268000,3.54,1.5,1.51,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,269.0,O:IWM260123C00269000,4.54,0.89,0.94,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,270.0,O:IWM260123C00270000,5.54,0.49,0.49,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,271.0,O:IWM260123C00271000,6.54,0.17,0.23,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,272.0,O:IWM260123C00272000,7.54,0.12,0.12,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,273.0,O:IWM260123C00273000,8.54,0.05,0.05,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,274.0,O:IWM260123C00274000,9.54,0.02,0.03,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,275.0,O:IWM260123C00275000,10.54,0.01,0.02,0.01,0.01
IWM,2026-01-23,4.58,269.04,269.05,264.46,264.81,276.0,O:IWM260123C00276000,11.54,0.01,0.01,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,263.0,O:IWM260128C00263000,0.44,3.23,3.8,0.26,0.42
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,264.0,O:IWM260128C00264000,1.44,2.45,3.0,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,265.0,O:IWM260128C00265000,2.44,1.74,2.24,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,266.0,O:IWM260128C00266000,3.44,1.16,1.56,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,267.0,O:IWM260128C00267000,4.44,0.7,1.02,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,268.0,O:IWM260128C00268000,5.44,0.39,0.59,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,269.0,O:IWM260128C00269000,6.44,0.17,0.33,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,270.0,O:IWM260128C00270000,7.44,0.09,0.16,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,271.0,O:IWM260128C00271000,8.44,0.06,0.08,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,272.0,O:IWM260128C00272000,9.44,0.03,0.04,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,273.0,O:IWM260128C00273000,10.44,0.02,0.03,0.01,0.01
IWM,2026-01-28,3.42,265.98,266.675,262.56,263.3,274.0,O:IWM260128C00274000,11.44,0.02,0.02,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,260.0,O:IWM260129C00260000,0.59,4.36,5.02,0.72,3.35
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,261.0,O:IWM260129C00261000,1.59,2.6,4.07,0.38,2.36
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,262.0,O:IWM260129C00262000,2.59,2.52,3.24,0.17,1.31
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,263.0,O:IWM260129C00263000,3.59,1.7,2.37,0.07,0.38
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,264.0,O:IWM260129C00264000,4.59,0.94,1.64,0.01,0.02
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,265.0,O:IWM260129C00265000,5.59,0.51,1.02,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,266.0,O:IWM260129C00266000,6.59,0.24,0.56,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,267.0,O:IWM260129C00267000,7.59,0.11,0.27,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,268.0,O:IWM260129C00268000,8.59,0.05,0.11,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,269.0,O:IWM260129C00269000,9.59,0.02,0.04,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,270.0,O:IWM260129C00270000,10.59,0.01,0.02,0.01,0.01
IWM,2026-01-29,4.66,264.07,265.06,259.41,263.37,271.0,O:IWM260129C00271000,11.59,0.01,0.01,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,258.0,O:IWM260130C00258000,0.06,3.51,4.36,0.74,1.44
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,259.0,O:IWM260130C00259000,1.06,2.83,4.1,0.31,0.53
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,260.0,O:IWM260130C00260000,2.06,1.87,3.21,0.01,0.02
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,261.0,O:IWM260130C00261000,3.06,1.22,2.44,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,262.0,O:IWM260130C00262000,4.06,0.75,1.75,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,262.5,O:IWM260130C00262500,4.56,0.56,1.45,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,263.0,O:IWM260130C00263000,5.06,0.36,1.17,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,264.0,O:IWM260130C00264000,6.06,0.22,0.69,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,265.0,O:IWM260130C00265000,7.06,0.16,0.38,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,266.0,O:IWM260130C00266000,8.06,0.06,0.19,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,267.0,O:IWM260130C00267000,9.06,0.04,0.09,0.01,0.01
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,268.0,O:IWM260130C00268000,10.06,0.02,0.05,0.01,0.01
