ticker,drop_days,trades_taken,total_pnl,avg_pnl,win_rate,best,worst,sampled_days,chains_OK,chains_with_data,picks_made,profit_factor
GLD,58,12,22185.85,1848.8208333333332,83.33333333333334,16500.0,-72.00000000000001,30.0,18.0,18.0,12.0,299.1969086021505
AMZN,64,10,9127.85,912.7850000000001,100.0,3151.4999999999995,5.750000000000005,30.0,18.0,18.0,10.0,9127850000000.0
IWM,54,29,7998.8,275.82068965517243,65.51724137931035,2410.0,-75.0,30.0,30.0,30.0,29.0,13.335261007016737
QQQ,43,12,5547.55,462.29583333333335,100.0,2638.9,26.549999999999972,30.0,30.0,30.0,13.0,5547550000000.0
XLE,54,8,5053.9,631.7375,75.0,2049.9999999999995,-31.19999999999994,30.0,8.0,8.0,8.0,162.98397435897465
AAPL,53,11,4514.099999999999,410.3727272727272,72.72727272727273,1190.4,-75.0,30.0,17.0,17.0,11.0,23.82730720606827
SPY,37,19,2932.95,154.3657894736842,73.68421052631578,562.35,-73.95000000000002,30.0,30.0,30.0,19.0,22.81442915582
NVDA,62,10,2890.05,289.005,60.0,2169.75,-72.0,30.0,17.0,17.0,10.0,25.45050761421321
MSFT,64,3,1324.25,441.4166666666667,66.66666666666666,1079.75,0.0,30.0,18.0,18.0,3.0,1324250000000.0
XLF,44,10,899.45,89.94500000000001,40.0,774.9999999999999,-75.0,30.0,10.0,10.0,10.0,3.556708357021036
XLK,57,4,629.5,157.375,50.0,350.00000000000006,0.0,30.0,4.0,4.0,4.0,629500000000.0
DIA,45,7,361.1999999999998,51.59999999999997,71.42857142857143,159.00000000000003,-72.90000000000003,30.0,7.0,7.0,7.0,3.643249176728867
ARKK,60,8,281.9500000000001,35.24375000000001,37.5,206.25000000000006,-72.9,30.0,8.0,8.0,8.0,3.1088257292445785
SMH,61,0,0.0,0.0,0.0,0.0,0.0,,,,,
META,69,0,0.0,0.0,0.0,0.0,0.0,,,,,
TSLA,71,0,0.0,0.0,0.0,0.0,0.0,,,,,
