ticker,date,strike,fill,exit,contracts,pnl
NVDA,2026-05-06,205,2.81,2.81,1,0.0
NVDA,2026-04-27,215,1.57,1.57,3,0.0
NVDA,2026-04-22,205,0.1,0.1105,50,52.49999999999998
NVDA,2026-04-20,205,0.15,0.23800000000000002,33,290.4000000000001
NVDA,2026-04-06,185,0.02,0.034,250,350.00000000000006
NVDA,2026-04-01,180,0.15,0.136,33,-46.19999999999995
NVDA,2026-03-27,175,0.1,0.1105,50,52.49999999999998
NVDA,2026-03-23,180,0.4,0.34,12,-72.0
NVDA,2026-03-18,185,0.35,0.4165,14,93.10000000000001
NVDA,2026-03-16,190,0.15,0.8075,33,2169.75
AMZN,2026-05-11,275,0.19,0.5780000000000001,26,1008.8000000000001
AMZN,2026-05-08,275,0.42,0.544,11,136.40000000000006
AMZN,2026-05-01,270,0.45,3.315,11,3151.4999999999995
AMZN,2026-04-24,265,0.16,0.2975,31,426.24999999999994
AMZN,2026-04-15,255,0.21,0.2125,23,5.750000000000005
AMZN,2026-04-13,245,0.05,0.1615,100,1115.0
AMZN,2026-04-02,210,0.3,1.9975,16,2716.0
AMZN,2026-04-01,215,0.15,0.153,33,9.90000000000001
AMZN,2026-03-30,205,0.28,0.34,17,102.0
AMZN,2026-03-25,215,0.2,0.3825,25,456.25
ARKK,2026-05-08,81,0.05,0.059500000000000004,100,95.00000000000001
ARKK,2026-05-01,81,0.09,0.1275,55,206.25000000000006
ARKK,2026-04-24,78,0.27,0.2295,18,-72.9
ARKK,2026-04-10,70,0.31,0.272,16,-60.79999999999997
ARKK,2026-04-02,74,0.01,0.01,500,0.0
ARKK,2026-03-27,66,0.22,0.272,22,114.40000000000003
ARKK,2026-03-20,77,0.01,0.01,500,0.0
ARKK,2026-03-13,78,0.01,0.01,500,0.0
MSFT,2026-05-13,410,0.33,0.49299999999999994,15,244.4999999999999
MSFT,2026-04-17,430,0.71,2.2525,7,1079.75
MSFT,2026-04-13,380,4.5,4.5,1,0.0
XLK,2026-04-24,163,0.01,0.01,500,0.0
XLK,2026-03-27,132,0.19,0.2975,26,279.49999999999994
XLK,2026-03-20,143,0.01,0.017,500,350.00000000000006
XLK,2026-03-13,144,0.01,0.01,500,0.0
AAPL,2026-04-24,275,0.19,0.6375,26,1163.4999999999998
AAPL,2026-04-13,265,0.06,0.11900000000000001,83,489.7000000000001
AAPL,2026-04-08,265,0.05,0.1615,100,1115.0
AAPL,2026-04-02,260,0.07,0.0765,71,46.14999999999994
AAPL,2026-03-30,255,0.16,0.14450000000000002,31,-48.04999999999996
AAPL,2026-03-25,260,0.05,0.0425,100,-75.0
AAPL,2026-03-20,255,0.06,0.051,83,-74.70000000000002
AAPL,2026-03-18,255,0.47,0.9265,10,456.50000000000006
AAPL,2026-03-16,255,0.3,0.391,16,145.60000000000005
AAPL,2026-03-11,265,0.14,0.17,35,105.0
AAPL,2026-03-09,260,0.31,1.054,16,1190.4
XLE,2026-05-08,56,0.3,0.2805,16,-31.19999999999994
